"","state.county","date","cases","deaths","per1k","days_since_case100","days_since_death10"
"1185","Mississippi-Covington",2020-04-06,6,0,0.321957501609788,0,0
"1186","Mississippi-DeSoto",2020-04-06,136,1,0.735353753818703,5,0
"1187","Mississippi-Forrest",2020-04-06,46,1,0.614176802809191,0,0
"1188","Mississippi-Franklin",2020-04-06,5,0,0.648256190846623,0,0
"1189","Mississippi-George",2020-04-06,5,0,0.204081632653061,0,0
"1190","Mississippi-Greene",2020-04-06,1,0,0.0736051818047991,0,0
"1191","Mississippi-Grenada",2020-04-06,7,0,0.337219385297235,0,0
"1192","Mississippi-Hancock",2020-04-06,30,1,0.629828686597246,0,0
"1193","Mississippi-Harrison",2020-04-06,79,3,0.379661668589004,0,0
"1194","Mississippi-Hinds",2020-04-06,158,0,0.681504485852312,6,0
"1195","Mississippi-Holmes",2020-04-06,23,2,1.35214579659024,0,0
"1196","Mississippi-Humphreys",2020-04-06,4,1,0.496031746031746,0,0
"1197","Mississippi-Itawamba",2020-04-06,4,0,0.171013253527148,0,0
"1198","Mississippi-Jackson",2020-04-06,98,5,0.682370471462292,0,0
"1199","Mississippi-Jasper",2020-04-06,3,0,0.183116645303058,0,0
"1200","Mississippi-Jefferson",2020-04-06,3,0,0.429184549356223,0,0
"1201","Mississippi-Jones",2020-04-06,13,0,0.190901348057212,0,0
"1202","Mississippi-Kemper",2020-04-06,6,0,0.615889960993636,0,0
"1203","Mississippi-Lafayette",2020-04-06,22,1,0.407264110775838,0,0
"1204","Mississippi-Lamar",2020-04-06,15,0,0.236805961195396,0,0
"1205","Mississippi-Lauderdale",2020-04-06,70,2,0.944350758853288,0,0
"1206","Mississippi-Lawrence",2020-04-06,5,0,0.397266804385826,0,0
"1207","Mississippi-Leake",2020-04-06,11,0,0.482752567365926,0,0
"1208","Mississippi-Lee",2020-04-06,30,2,0.351140034645817,0,0
"1209","Mississippi-Leflore",2020-04-06,23,4,0.816094808927368,0,0
"1210","Mississippi-Lincoln",2020-04-06,18,0,0.527040084326413,0,0
"1211","Mississippi-Lowndes",2020-04-06,15,0,0.255994538783173,0,0
"1212","Mississippi-Madison",2020-04-06,74,2,0.696326407708521,0,0
"1213","Mississippi-Marion",2020-04-06,8,0,0.325560574614414,0,0
"1214","Mississippi-Marshall",2020-04-06,23,1,0.65166883889613,0,0
"1215","Mississippi-Monroe",2020-04-06,16,1,0.453874957449223,0,0
"1216","Mississippi-Montgomery",2020-04-06,11,1,1.12531969309463,0,0
"1217","Mississippi-Neshoba",2020-04-06,11,0,0.377773198708703,0,0
"1218","Mississippi-Newton",2020-04-06,7,0,0.333047863735845,0,0
"1219","Mississippi-Noxubee",2020-04-06,5,0,0.479984640491504,0,0
"1220","Mississippi-Oktibbeha",2020-04-06,27,0,0.544497549761026,0,0
"1221","Mississippi-Panola",2020-04-06,17,1,0.49719232569022,0,0
"1222","Mississippi-Pearl River",2020-04-06,52,2,0.936346448185829,0,0
"1223","Mississippi-Perry",2020-04-06,14,1,1.1692975862357,0,0
"1224","Mississippi-Pike",2020-04-06,28,0,0.712685807371207,0,0
"1225","Mississippi-Pontotoc",2020-04-06,12,1,0.372971964940635,0,0
"1226","Mississippi-Prentiss",2020-04-06,10,0,0.397994109687177,0,0
"1227","Mississippi-Quitman",2020-04-06,7,0,1.03062426383981,0,0
"1228","Mississippi-Rankin",2020-04-06,74,1,0.476586097854719,0,0
"1229","Mississippi-Scott",2020-04-06,23,0,0.817806855354857,0,0
"1230","Mississippi-Sharkey",2020-04-06,3,0,0.694283730617912,0,0
"1231","Mississippi-Simpson",2020-04-06,6,0,0.225073148773351,0,0
"1232","Mississippi-Smith",2020-04-06,11,0,0.691128424227193,0,0
"1233","Mississippi-Stone",2020-04-06,1,0,0.0545375218150087,0,0
"1234","Mississippi-Sunflower",2020-04-06,19,1,0.756670649143767,0,0
"1235","Mississippi-Tallahatchie",2020-04-06,3,0,0.217249619813165,0,0
"1236","Mississippi-Tate",2020-04-06,16,0,0.564951802549345,0,0
"1237","Mississippi-Tippah",2020-04-06,36,3,1.63524869407222,0,0
"1238","Mississippi-Tishomingo",2020-04-06,1,0,0.0515916008873755,0,0
"1239","Mississippi-Tunica",2020-04-06,18,1,1.8687707641196,0,0
"1240","Mississippi-Union",2020-04-06,6,0,0.208224882873503,0,0
"1241","Mississippi-Walthall",2020-04-06,12,0,0.839983200335993,0,0
"1242","Mississippi-Warren",2020-04-06,5,0,0.110178268438333,0,0
"1243","Mississippi-Washington",2020-04-06,38,0,0.865426222414539,0,0
"1244","Mississippi-Wayne",2020-04-06,5,0,0.247733240846257,0,0
"1245","Mississippi-Webster",2020-04-06,12,1,1.23851790690474,0,0
"1246","Mississippi-Wilkinson",2020-04-06,30,3,3.47624565469293,0,0
"1247","Mississippi-Winston",2020-04-06,15,0,0.835421888053467,0,0
